#
#	m_nu (eV)	eta_L (eta_B = 0)	eta_B (eta_L = 0)
#
	0.05		1.05e-24		6.10e-24
	0.20		1.24e-23		4.63e-24
	0.35		3.27e-23		6.60e-24
	0.50		6.20e-23		1.00e-23
	0.65		1.00e-22		1.55e-23
