#
#	m_nu (eV)	eta_L (eta_B = 0)	eta_B (eta_L = 0)
#
	0.05		2.6e-23			1.1e-23
	0.20		3.11e-22		4.8e-23
	0.35		9.32e-22		1.67e-22
	0.50		1.88e-21		3.3e-22
	0.65		3.2e-21			4.63e-22
