# eta_L = 0.000000000000000e+00
# eta_B = 2.900000000000000e-22
#	T		Y_L		Y_B		BAU		Ups_L		Ups_B		Y_Leq		Y_Beq
	1.100000000000000e+01		9.129372328326106e-10		-1.088237106638181e-09		-5.967794143410783e-10		9.129372328326106e-10		-9.142371066381813e-10		0.000000000000000e-01		-1.740000000000000e-10
	1.104000000000000e+01		9.044119211002986e-10		-1.096764209567130e-09		-6.014556006803631e-10		9.044119211002986e-10		-9.059770034382161e-10		0.000000000000000e-01		-1.907872061289142e-10
	1.108000000000000e+01		8.950496934097026e-10		-1.106128381935222e-09		-6.065908283504453e-10		8.950496934097026e-10		-8.969343703117919e-10		0.000000000000000e-01		-2.091940116234298e-10
	1.112000000000000e+01		8.847668058281351e-10		-1.116413378535170e-09		-6.122310277242549e-10		8.847668058281351e-10		-8.870367060263551e-10		0.000000000000000e-01		-2.293766725088148e-10
	1.116000000000000e+01		8.734707990867302e-10		-1.127711669732939e-09		-6.184269087164857e-10		8.734707990867302e-10		-8.762051496231480e-10		0.000000000000000e-01		-2.515065201097914e-10
	1.120000000000000e+01		8.610595205904757e-10		-1.140125419312598e-09		-6.252344970248935e-10		8.610595205904757e-10		-8.643540038243644e-10		0.000000000000000e-01		-2.757714154882337e-10
	1.124000000000000e+01		8.474200190991073e-10		-1.153767589600997e-09		-6.327157401707024e-10		8.474200190991073e-10		-8.513902453986055e-10		0.000000000000000e-01		-3.023773442023913e-10
	1.128000000000000e+01		8.324272950183291e-10		-1.168763190920460e-09		-6.409391926871923e-10		8.324272950183291e-10		-8.372130259948549e-10		0.000000000000000e-01		-3.315501649256050e-10
	1.132000000000000e+01		8.159428815158882e-10		-1.185250700139726e-09		-6.499807940402403e-10		8.159428815158882e-10		-8.217131733711232e-10		0.000000000000000e-01		-3.635375267686029e-10
	1.136000000000000e+01		7.978132282407549e-10		-1.203383676526092e-09		-6.599247547470629e-10		7.978132282407549e-10		-8.047727049444999e-10		0.000000000000000e-01		-3.986109715815925e-10
	1.140000000000000e+01		7.778678527225416e-10		-1.223332609798430e-09		-6.708645698318217e-10		7.778678527225416e-10		-7.862643707157628e-10		0.000000000000000e-01		-4.370682390826669e-10
	1.144000000000000e+01		7.559172211694989e-10		-1.245287038634077e-09		-6.829041805956979e-10		7.559172211694989e-10		-7.660512442532361e-10		0.000000000000000e-01		-4.792357943808410e-10
	1.148000000000000e+01		7.317502963828163e-10		-1.269458001876431e-09		-6.961593188370255e-10		7.317502963828163e-10		-7.439864025264798e-10		0.000000000000000e-01		-5.254715993499508e-10
	1.152000000000000e+01		7.051317050232357e-10		-1.296080870163329e-09		-7.107590596907598e-10		7.051317050232357e-10		-7.199127187836207e-10		0.000000000000000e-01		-5.761681513797085e-10
	1.156000000000000e+01		6.757984212505990e-10		-1.325418660901081e-09		-7.268476395303350e-10		6.757984212505990e-10		-6.936628456011048e-10		0.000000000000000e-01		-6.317558152999763e-10
	1.160000000000000e+01		6.434558852274022e-10		-1.357765918025260e-09		-7.445865835934931e-10		6.434558852274022e-10		-6.650594412621748e-10		0.000000000000000e-01		-6.927064767630852e-10
	1.164000000000000e+01		6.077733988013028e-10		-1.393453314148599e-09		-7.641572297586813e-10		6.077733988013028e-10		-6.339157660507097e-10		0.000000000000000e-01		-7.595375480978888e-10
	1.168000000000000e+01		5.683786307245576e-10		-1.432853142631871e-09		-7.857637403471902e-10		5.683786307245576e-10		-6.000367819904801e-10		0.000000000000000e-01		-8.328163606413907e-10
	1.172000000000000e+01		5.248510113389646e-10		-1.476385919515605e-09		-8.096367225629616e-10		5.248510113389646e-10		-5.632209386810008e-10		0.000000000000000e-01		-9.131649808346043e-10
	1.176000000000000e+01		4.767136249941143e-10		-1.524528486875229e-09		-8.360376722994647e-10		4.767136249941143e-10		-5.232629959085758e-10		0.000000000000000e-01		-1.001265490966653e-09
	1.180000000000000e+01		4.234231902257039e-10		-1.577824027356814e-09		-8.652644660207769e-10		4.234231902257039e-10		-4.799582479612780e-10		0.000000000000000e-01		-1.097865779395536e-09
	1.184000000000000e+01		3.643573292228614e-10		-1.636894788084921e-09		-8.976583384378865e-10		3.643573292228614e-10		-4.331088986859720e-10		0.000000000000000e-01		-1.203785889398949e-09
	1.188000000000000e+01		2.987978367603206e-10		-1.702458803399428e-09		-9.336130531067458e-10		2.987978367603206e-10		-3.825338228486484e-10		0.000000000000000e-01		-1.319924980550780e-09
	1.192000000000000e+01		2.259077493057876e-10		-1.775352815217325e-09		-9.735874717479582e-10		2.259077493057876e-10		-3.280838534986778e-10		0.000000000000000e-01		-1.447268961718648e-09
	1.196000000000000e+01		1.446978554646435e-10		-1.856565749163934e-09		-1.018123912255212e-09		1.446978554646435e-10		-2.696668886846509e-10		0.000000000000000e-01		-1.586898860479283e-09
	1.200000000000000e+01		5.397554382598944e-11		-1.947289849398116e-09		-1.067876190572237e-09		5.397554382598944e-11		-2.072898493981163e-10		0.000000000000000e-01		-1.740000000000000e-09
	1.204000000000000e+01		-4.773532973174840e-11		-2.049000788526477e-09		-1.123653552247229e-09		-4.773532973174840e-11		-1.411287272373348e-10		0.000000000000000e-01		-1.907872061289142e-09
	1.208000000000000e+01		-1.623177549725283e-10		-2.163580949902489e-09		-1.186488279333793e-09		-1.623177549725283e-10		-7.164083366819042e-11		0.000000000000000e-01		-2.091940116234298e-09
	1.212000000000000e+01		-2.922413510684750e-10		-2.293499169224906e-09		-1.257734259062406e-09		-2.922413510684750e-10		2.675558632426267e-13		0.000000000000000e-01		-2.293766725088148e-09
