# eta_L = 5.000000000000000e-23
# eta_B = 1.000000000000000e-21
#	T		U_m		U_p
	1.100000000000000e+01		3.514298739280826e-07		-2.567066304933559e-11
	1.104000000000000e+01		3.513391271813731e-07		-3.090516222802632e-11
	1.108000000000000e+01		3.512395885475164e-07		-3.721210554358068e-11
	1.112000000000000e+01		3.511304020904550e-07		-4.481286111319984e-11
	1.116000000000000e+01		3.510106276488681e-07		-5.397507231358243e-11
	1.120000000000000e+01		3.508792323489986e-07		-6.502244724691954e-11
	1.124000000000000e+01		3.507350812161860e-07		-7.834682985414778e-11
	1.128000000000000e+01		3.505769267783243e-07		-9.442281497904821e-11
	1.132000000000000e+01		3.504033975390365e-07		-1.138256768205745e-10
	1.136000000000000e+01		3.502129851800410e-07		-1.372534288634911e-10
	1.140000000000000e+01		3.500040303302972e-07		-1.655537090393985e-10
	1.144000000000000e+01		3.497747067129531e-07		-1.997571483427785e-10
	1.148000000000000e+01		3.495230034490108e-07		-2.411182884681815e-10
	1.152000000000000e+01		3.492467052568451e-07		-2.911666323843535e-10
	1.156000000000000e+01		3.489433702379158e-07		-3.517695451747020e-10
	1.160000000000000e+01		3.486103048769803e-07		-4.252115855002481e-10
	1.164000000000000e+01		3.482445358079881e-07		-5.142932260786071e-10
	1.168000000000000e+01		3.478427777963919e-07		-6.224559286978012e-10
	1.172000000000000e+01		3.474013972594639e-07		-7.539414317090611e-10
	1.176000000000000e+01		3.469163704766242e-07		-9.139954657229308e-10
	1.180000000000000e+01		3.463832354131024e-07		-1.109132906185989e-09
	1.184000000000000e+01		3.457970357701756e-07		-1.347487489316533e-09
	1.188000000000000e+01		3.451522554378655e-07		-1.639283796192483e-09
	1.192000000000000e+01		3.444427408926697e-07		-1.997491947074459e-09
	1.196000000000000e+01		3.436616081390022e-07		-2.438757628296947e-09
	1.200000000000000e+01		3.428011293594334e-07		-2.984742133771094e-09
	1.204000000000000e+01		3.418525922961047e-07		-3.664032338744834e-09
	1.208000000000000e+01		3.408061223697535e-07		-4.514745390116785e-09
	1.212000000000000e+01		3.396504536840478e-07		-5.587807274686527e-09
	1.216000000000000e+01		3.383726308113692e-07		-6.950596990675243e-09
	1.220000000000000e+01		3.369576198734371e-07		-8.690227574640553e-09
	1.224000000000000e+01		3.353878063475271e-07		-1.091533635724400e-08
	1.228000000000000e+01		3.336423604273778e-07		-1.375502386933908e-08
	1.232000000000000e+01		3.316964593875467e-07		-1.735372630321522e-08
	1.236000000000000e+01		3.295203711257845e-07		-2.186134250067651e-08
	1.240000000000000e+01		3.270784209779431e-07		-2.741886919411285e-08
	1.244000000000000e+01		3.243278830155437e-07		-3.414080126947789e-08
	1.248000000000000e+01		3.212178537578422e-07		-4.209637613944022e-08
	1.252000000000000e+01		3.176881734110544e-07		-5.129225590090844e-08
	1.256000000000000e+01		3.136684602346993e-07		-6.165908575259628e-08
	1.260000000000000e+01		3.090773184723866e-07		-7.304371549669258e-08
	1.264000000000000e+01		3.038217517730350e-07		-8.520821391829352e-08
	1.268000000000000e+01		2.977968059657626e-07		-9.783543365841910e-08
	1.272000000000000e+01		2.908854279166515e-07		-1.105403313390637e-07
	1.276000000000000e+01		2.829585109606516e-07		-1.228854126749029e-07
	1.280000000000000e+01		2.738750770152603e-07		-1.343984204490325e-07
	1.284000000000000e+01		2.634825329672779e-07		-1.445903763746599e-07
	1.288000000000000e+01		2.516169340731635e-07		-1.529723464783756e-07
	1.292000000000000e+01		2.381031862433208e-07		-1.590696344356432e-07
	1.296000000000000e+01		2.227551212873097e-07		-1.624327287084425e-07
	1.300000000000000e+01		2.053753855095188e-07		-1.626445666610420e-07
	1.304000000000000e+01		1.857550981562848e-07		-1.593240822677059e-07
	1.308000000000000e+01		1.636732543547393e-07		-1.521264772613058e-07
	1.312000000000000e+01		1.388958351219195e-07		-1.407408039625725e-07
	1.316000000000000e+01		1.111746042810430e-07		-1.248851585216430e-07
	1.320000000000000e+01		8.024557490621372e-08		-1.043000566743879e-07
	1.324000000000000e+01		4.582717556679088e-08		-7.874092463536774e-08
	1.328000000000000e+01		7.618076051382777e-09		-4.796992390578929e-08
	1.332000000000000e+01		-3.470532055127068e-08		-1.174738116312745e-08
	1.336000000000000e+01		-8.149171466080287e-08		3.017672101428193e-08
	1.340000000000000e+01		-1.331180767294462e-07		7.807107149244826e-08
	1.344000000000000e+01		-1.899931658503755e-07		1.322310096238134e-07
	1.348000000000000e+01		-2.525613859529866e-07		1.929862612921565e-07
	1.352000000000000e+01		-3.213070203129672e-07		2.607081874640861e-07
	1.356000000000000e+01		-3.967588494892452e-07		3.358165620206579e-07
	1.360000000000000e+01		-4.794951996275707e-07		4.187872321182247e-07
	1.364000000000000e+01		-5.701493123773306e-07		5.101579935316513e-07
	1.368000000000000e+01		-6.694154468709630e-07		6.105352044450993e-07
	1.372000000000000e+01		-7.780550450999886e-07		7.206024405813582e-07
	1.376000000000000e+01		-8.969042383118402e-07		8.411238584586790e-07
	1.380000000000000e+01		-1.026880590843185e-06		9.729571850227409e-07
	1.384000000000000e+01		-1.168993112600733e-06		1.117054814388241e-06
	1.388000000000000e+01		-1.324348382931212e-06		1.274479627148966e-06
	1.392000000000000e+01		-1.494164154414838e-06		1.446408021546764e-06
	1.396000000000000e+01		-1.679775874467021e-06		1.634144945802147e-06
	1.400000000000000e+01		-1.882653146905282e-06		1.839130332701979e-06
	1.404000000000000e+01		-2.104407076747440e-06		2.062956654996926e-06
	1.408000000000000e+01		-2.346810294169525e-06		2.307376234205033e-06
