# eta_L = 0.000000000000000e+00
# eta_B = 3.300000000000000e-22
#	T		Y_L		Y_B		BAU		Ups_L		Ups_B
	1.100000000000000e+01		1.051917862545373e-09		-5.519251987992566e-10		-6.053416022856047e-10		1.051917862545373e-09		-3.539251987992566e-10
	1.104000000000000e+01		1.057323388079238e-09		-5.735115111619374e-10		-6.290170803059794e-10		1.057323388079238e-09		-3.564088283255867e-10
	1.108000000000000e+01		1.063341825534619e-09		-5.972888267983461e-10		-6.550956111951431e-10		1.063341825534619e-09		-3.592404687440983e-10
	1.112000000000000e+01		1.070052670561529e-09		-6.234925317107165e-10		-6.838353620743973e-10		1.070052670561529e-09		-3.624776974765479e-10
	1.116000000000000e+01		1.077547807210292e-09		-6.523862998997671e-10		-7.155255258315159e-10		1.077547807210292e-09		-3.661892252920734e-10
	1.120000000000000e+01		1.085933837011888e-09		-6.842662131155501e-10		-7.504908395891637e-10		1.085933837011888e-09		-3.704573610082497e-10
	1.124000000000000e+01		1.095334918176407e-09		-7.194656553726268e-10		-7.890969529208515e-10		1.095334918176407e-09		-3.753810912802504e-10
	1.128000000000000e+01		1.105896242194237e-09		-7.583611681362885e-10		-8.317568497135669e-10		1.105896242194237e-09		-3.810799459795656e-10
	1.132000000000000e+01		1.117788254912521e-09		-8.013795234031570e-10		-8.789386057949901e-10		1.117788254912521e-09		-3.876988894940572e-10
	1.136000000000000e+01		1.131211822130339e-09		-8.490063260966970e-10		-9.311748238857208e-10		1.131211822130339e-09		-3.954145308486780e-10
	1.140000000000000e+01		1.146404538284610e-09		-9.017965689298443e-10		-9.890742099822169e-10		1.146404538284610e-09		-4.044430554909474e-10
	1.144000000000000e+01		1.163648338976901e-09		-9.603877201816989e-10		-1.053335927794192e-09		1.163648338976901e-09		-4.150504369207419e-10
	1.148000000000000e+01		1.183278676285749e-09		-1.025516081167058e-09		-1.124767539322138e-09		1.183278676285749e-09		-4.275656405274592e-10
	1.152000000000000e+01		1.205695337531463e-09		-1.098037449107068e-09		-1.204307667521134e-09		1.205695337531463e-09		-4.423978285715380e-10
	1.156000000000000e+01		1.231374928637013e-09		-1.178953442176375e-09		-1.293054869137707e-09		1.231374928637013e-09		-4.600588937315744e-10
	1.160000000000000e+01		1.260884660634172e-09		-1.269445331002372e-09		-1.392304740487943e-09		1.260884660634172e-09		-4.811931333064471e-10
	1.164000000000000e+01		1.294896526983833e-09		-1.370917808667334e-09		-1.503597923606296e-09		1.294896526983833e-09		-5.066164608318059e-10
	1.168000000000000e+01		1.334199704842639e-09		-1.485055934634474e-09		-1.628782561316514e-09		1.334199704842639e-09		-5.373683518356506e-10
	1.172000000000000e+01		1.379707364884531e-09		-1.613899286340264e-09		-1.770095625360539e-09		1.379707364884531e-09		-5.747805150457147e-10
	1.176000000000000e+01		1.432451430218496e-09		-1.759938095269612e-09		-1.930268356711633e-09		1.432451430218496e-09		-6.205670193420415e-10
	1.180000000000000e+01		1.493555302579623e-09		-1.926236368266265e-09		-2.112661302806737e-09		1.493555302579623e-09		-6.769408261954822e-10
	1.184000000000000e+01		1.564170672507106e-09		-2.116585897343411e-09		-2.321433232728675e-09		1.564170672507106e-09		-7.467605749239164e-10
	1.188000000000000e+01		1.645363203803943e-09		-2.335690984077715e-09		-2.561743739589426e-09		1.645363203803943e-09		-8.337073855199314e-10
	1.192000000000000e+01		1.737933835576611e-09		-2.589375722353815e-09		-2.839980584505276e-09		1.737933835576611e-09		-9.424834555705263e-10
	1.196000000000000e+01		1.842172754741062e-09		-2.884792233711772e-09		-3.163988085369704e-09		1.842172754741062e-09		-1.079010771787071e-09
	1.200000000000000e+01		1.957563410588579e-09		-3.230590274177841e-09		-3.543253138565956e-09		1.957563410588579e-09		-1.250590274177841e-09
	1.204000000000000e+01		2.082478682217823e-09		-3.636990743916547e-09		-3.988985843027469e-09		2.082478682217823e-09		-1.465963915553041e-09
	1.208000000000000e+01		2.213939162848890e-09		-4.115693655394396e-09		-4.514018561379910e-09		2.213939162848890e-09		-1.735210074851919e-09
	1.212000000000000e+01		2.347511026726878e-09		-4.679555753233837e-09		-5.132452339212178e-09		2.347511026726878e-09		-2.069407410892151e-09
	1.216000000000000e+01		2.477414393232398e-09		-5.341996964534416e-09		-5.859005910495231e-09		2.477414393232398e-09		-2.480026218457479e-09
	1.220000000000000e+01		2.596868798553404e-09		-6.116140740863978e-09		-6.708072840184758e-09		2.596868798553404e-09		-2.978052219790974e-09
	1.224000000000000e+01		2.698656375249388e-09		-7.013747993213648e-09		-7.692552283309724e-09		2.698656375249388e-09		-3.572902352289885e-09
	1.228000000000000e+01		2.775821327429537e-09		-8.044057459863462e-09		-8.822577121365125e-09		2.775821327429537e-09		-4.271245238296232e-09
	1.232000000000000e+01		2.822394965314112e-09		-9.212677663545799e-09		-1.010429868091597e-08		2.822394965314112e-09		-5.075871324454801e-09
	1.236000000000000e+01		2.834028365288149e-09		-1.052068020168696e-08		-1.153889227068971e-08		2.834028365288149e-09		-5.984762249206767e-09
	1.240000000000000e+01		2.808412083011176e-09		-1.196401975760365e-08		-1.312192106031848e-08		2.808412083011176e-09		-6.990484623214684e-09
	1.244000000000000e+01		2.745446351223298e-09		-1.353335425218386e-08		-1.484313882594685e-08		2.745446351223298e-09		-8.079981419574290e-09
	1.248000000000000e+01		2.647193709772682e-09		-1.521428058965868e-08		-1.668674851194195e-08		2.647193709772682e-09		-9.234776183262688e-09
	1.252000000000000e+01		2.517539578130876e-09		-1.698795007672941e-08		-1.863207721149095e-08		2.517539578130876e-09		-1.043155387137410e-08
