#
#	m_nu (eV)	eta_L (eta_B = 0)	eta_B (eta_L = 0)
#
	0.05		7.3e-22			3.0e-22
	0.20		8.5e-21			1.31e-21
	0.35		2.5e-20			4.52e-21
	0.50		5.2e-20			9.0e-21
	0.65		8.7e-20			1.27e-20
